AGE,SPBPERS_ETHN_CODE,SPBPERS_SEX
12,,M
14,,F
14,,F
15,,M
15,,F
15,,F
15,,M
15,,F
15,,M
15,,F
15,,F
15,,F
16,,F
16,,F
16,,F
16,,M
16,,F
16,,M
16,,M
16,,F
16,,F
16,,F
16,,F
16,,F
16,,M
16,,M
16,,F
16,,F
16,,M
16,,F
16,,F
16,,F
16,,M
16,,F
16,,M
16,,M
16,,F
16,1,M
16,,M
16,,F
16,,M
16,,F
16,,M
16,,F
16,,M
16,,M
16,,M
16,,M
16,,F
16,,F
16,,F
16,,M
16,,M
16,,M
16,,F
16,,M
16,,F
17,,M
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,M
17,,F
17,,F
17,,F
17,,M
17,,M
17,,F
17,,M
17,,M
17,,M
17,,F
17,,M
17,,F
17,,M
17,,M
17,,M
17,,M
17,,M
17,,F
17,,M
17,,F
17,,F
17,,M
17,,F
17,,M
17,,F
17,,M
17,,M
17,,F
17,,M
17,,F
17,,F
17,,M
17,,F
17,,F
17,,F
17,,F
17,,F
17,,M
17,,M
17,,F
17,,F
17,,M
17,,M
17,,F
17,,F
17,,F
17,,M
17,,M
17,,F
17,,F
17,,F
17,,F
17,,M
17,,F
17,,F
17,,M
17,,F
17,,F
17,,F
17,,M
17,,M
17,,F
17,,F
17,,M
17,,M
17,,F
17,,F
17,,F
17,,F
17,,F
17,,M
17,,F
17,,F
17,,M
17,,M
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,M
17,,M
17,,F
17,,F
17,,M
17,,F
17,,M
17,,F
17,,F
17,,M
17,,F
17,,F
17,,M
17,,M
17,,M
17,,M
17,,M
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,F
17,,M
17,,M
17,,N
17,,F
17,,F
17,,M
17,,M
17,,M
17,,M
17,,M
17,,F
17,,F
17,,F
17,,F
17,,M
17,,M
17,,M
17,,F
17,,F
17,,M
18,,M
18,,F
18,,M
18,,F
18,,F
18,,F
18,,M
18,,M
18,,F
18,,M
18,,F
18,,M
18,3,F
18,,M
18,,F
18,,F
18,,M
18,,F
18,,F
18,,M
18,,M
18,,F
18,,F
18,,F
18,,F
18,,M
18,,M
18,,M
18,,F
18,,M
18,,M
18,,F
18,,M
18,,F
18,,M
18,,M
18,,M
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,M
18,,M
18,,M
18,,F
18,,F
18,,F
18,,M
18,,F
18,,F
18,,F
18,1,F
18,,M
18,,M
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,M
18,,F
18,,M
18,,F
18,,M
18,,F
18,,F
18,,F
18,,M
18,,F
18,,F
18,,F
18,3,F
18,,F
18,,F
18,,M
18,,F
18,1,M
18,,M
18,,M
18,,M
18,1,M
18,,M
18,,F
18,,F
18,,M
18,,F
18,,F
18,,M
18,,M
18,,M
18,,M
18,,M
18,,F
18,,F
18,,F
18,,M
18,,F
18,,F
18,,F
18,,F
18,,F
18,,F
18,,M
18,,M
18,,F
18,,M
