Year,Location,Rate
2016,Sierra Vista Campus,8.1
2015,Sierra Vista Campus,8.2
2014,Sierra Vista Campus,8.2
2013,Sierra Vista Campus,8
2012,Sierra Vista Campus,7.5
2011,Sierra Vista Campus,7.4
2010,Sierra Vista Campus,6.1
2009,Sierra Vista Campus,6.5
2016,Douglas Campus,10.9
2015,Douglas Campus,11.3
2014,Douglas Campus,12.2
2013,Douglas Campus,10.7
2012,Douglas Campus,12.3
2011,Douglas Campus,12.1
2010,Douglas Campus,9.1
2009,Douglas Campus,8.2
2016,Online Campus,8.6
2015,Online Campus,8.7
2014,Online Campus,9.3
2013,Online Campus,9.4
2012,Online Campus,9.2
2011,Online Campus,8.6
2010,Online Campus,7.7
2009,Online Campus,7.4
