Term_Code,Camp_Desc,Enrollment
200940,Douglas Campus,2797
200940,Online Campus,1989
200940,Sierra Vista Campus,5017
200940,,9803
201040,Douglas Campus,3232
201040,Online Campus,2593
201040,Sierra Vista Campus,5097
201040,,10922
201140,Douglas Campus,2915
201140,Online Campus,2428
201140,Sierra Vista Campus,4622
201140,,9965
201240,Douglas Campus,2661
201240,Online Campus,2121
201240,Sierra Vista Campus,4254
201240,,9036
201340,Douglas Campus,2791
201340,Online Campus,2117
201340,Sierra Vista Campus,4195
201340,,9103
201440,Douglas Campus,2705
201440,Online Campus,2200
201440,Sierra Vista Campus,3947
201440,,8852
201540,Douglas Campus,2619
201540,Online Campus,2319
201540,Sierra Vista Campus,3967
201540,,8905
201640,Douglas Campus,2434
201640,Online Campus,2409
201640,Sierra Vista Campus,3222
201640,,8065
201740,Douglas Campus,2305
201740,Online Campus,2677
201740,Sierra Vista Campus,3070
201740,,8052
201840,Douglas Campus,2692
201840,Online Campus,2968
201840,Sierra Vista Campus,3234
201840,,8894
,,91597
