Term_Code,Camp_Desc,Enrollment
200940,Douglas Campus,450
200940,Online Campus,638
200940,Sierra Vista Campus,1885
200940,,2973
201040,Douglas Campus,587
201040,Online Campus,855
201040,Sierra Vista Campus,1887
201040,,3329
201140,Douglas Campus,459
201140,Online Campus,818
201140,Sierra Vista Campus,1734
201140,,3011
201240,Douglas Campus,471
201240,Online Campus,656
201240,Sierra Vista Campus,1358
201240,,2485
201340,Douglas Campus,370
201340,Online Campus,739
201340,Sierra Vista Campus,1522
201340,,2631
201440,Douglas Campus,416
201440,Online Campus,776
201440,Sierra Vista Campus,1579
201440,,2771
201540,Douglas Campus,396
201540,Online Campus,775
201540,Sierra Vista Campus,1640
201540,,2811
201640,Douglas Campus,381
201640,Online Campus,786
201640,Sierra Vista Campus,875
201640,,2042
201740,Douglas Campus,315
201740,Online Campus,953
201740,Sierra Vista Campus,771
201740,,2039
201840,Douglas Campus,377
201840,Online Campus,1052
201840,Sierra Vista Campus,754
201840,,2183
,,26275
