assist_id,semester,instcd,report_id,course_prefix,course_number,course_start,course_stop,grade,course_section,credit_hours,course_title,dual_enroll
10357073,20105,ASU,211,CIS,360, , ,B, ,3,Business Database Concepts,
10357073,20105,ASU,211,CIS,340, , ,E, ,3,Object-Oriented Modeling/Prog,
10357073,20111,ASU,211,CIS,425, , ,I, ,3,Electronic Commerce Strategy,
10357073,20115,104425,211,CIS,120,20110905,20111110,A,42636,3,INTRO TO INFORMATION SYST,N
10551381,20111,104425,222,HIS,110,20110110,20110308,A,10288,3,"HISTORY OF THE U.S., 1607",N
10551381,20114,104425,223,HIS,111,20110531,20110725,A,20208,3,HISTORY OF THE U.S. SINCE,N
10551381,20134,UA,222,HIST,343, , ,B, ,3,HIST OF MEXICAN AMERICAN,
10551381,20134,UA,222,HIST,436, , ,B, ,3,CIVIL WAR+RECONSTRUCTION,
10551381,20134,UA,222,HIST,467, , ,A, ,3,20TH CENTURY LATIN AMERICA,
10551381,20134,UA,223,HIST,343, , ,B, ,3,HIST OF MEXICAN AMERICAN,
10551381,20134,UA,223,HIST,436, , ,B, ,3,CIVIL WAR+RECONSTRUCTION,
10551381,20134,UA,223,HIST,467, , ,A, ,3,20TH CENTURY LATIN AMERICA,
10551381,20144,UA,222,HIST,320, , ,A, ,3,Tudor-Stuart England,
10551381,20144,UA,223,HIST,320, , ,A, ,3,Tudor-Stuart England,
10589648,20105,NAU,203,BIO,182, , ,A, ,4,UNITY/LIFE II: MULTICELLULAR,
10589648,20105,NAU,203,BIO,182, , ,NG, ,0,UNITY/LIFE II: MULTICELLULAR,
10589648,20111,104425,203,BIO,202,20110110,20110511,A,11001,4,HUMAN ANAT & PHYS II,N
10604951,20145,ASU,1551,MAT,265, , ,W, ,3,Calculus for Engineers I,
10604951,20151,ASU,1551,MAT,265, , ,W, ,3,Calculus for Engineers I,
10604951,20161,104425,1551,MAT,220,20160111,20160509,B,10602,5,CALCULUS I,N
10704146,20115,104425,200,BIO,181,20110822,20111213,A,40168,4,GENERAL BIOLOGY I (FOR MA,N
10704146,20135,104425,202,BIO,201,20130819,20131216,A,40643,4,HUMAN ANATOMY AND PHYSIOL,N
